2016-07-15 12:48,194, Tag Name,Iteration,Minibatch Loss,Traning Accuracy,Elapsed Time,Testing Accuracy
2016-07-14 18:03,207,cnn_net_2_2_2_4,119040,2.484444,0.08594,0.00234,
2016-07-14 18:03,224,cnn_net_2_2_2_4,120320,2.366248,0.10156,0.00242,
2016-07-14 18:03,242,cnn_net_2_2_2_4,121600,2.417455,0.11719,0.00234,
2016-07-14 18:03,261,cnn_net_2_2_2_4,122880,2.410335,0.0625,0.0025,
2016-07-14 18:03,279,cnn_net_2_2_2_4,124160,2.43037,0.07812,0.0025,
2016-07-14 18:03,296,cnn_net_2_2_2_4,125440,2.359715,0.07031,0.00238,
2016-07-14 18:03,315,cnn_net_2_2_2_4,126720,2.399091,0.07812,0.00233,
2016-07-14 18:03,332,cnn_net_2_2_2_4,128000,2.354084,0.13281,0.00242,
2016-07-14 18:03,349,cnn_net_2_2_2_4,129280,2.370004,0.07812,0.00236,
2016-07-14 18:03,654,cnn_net_2_2_2_4,130560,2.402053,0.08594,0.00255,
2016-07-14 18:03,671,cnn_net_2_2_2_4,131840,2.386264,0.0625,0.0023,
2016-07-14 18:03,688,cnn_net_2_2_2_4,133120,2.345816,0.14062,0.00239,
2016-07-14 18:03,705,cnn_net_2_2_2_4,134400,2.324993,0.11719,0.00247,
2016-07-14 18:03,723,cnn_net_2_2_2_4,135680,2.354118,0.10156,0.00241,
2016-07-14 18:03,740,cnn_net_2_2_2_4,136960,2.347717,0.10938,0.00235,
2016-07-14 18:03,757,cnn_net_2_2_2_4,138240,2.349603,0.11719,0.00238,
2016-07-14 18:03,774,cnn_net_2_2_2_4,139520,2.371286,0.11719,0.00247,
2016-07-14 18:03,792,cnn_net_2_2_2_4,140800,2.423912,0.0625,0.00226,
2016-07-14 18:03,809,cnn_net_2_2_2_4,142080,2.347938,0.11719,0.00247,
2016-07-14 18:03,826,cnn_net_2_2_2_4,143360,2.383619,0.09375,0.00238,
2016-07-14 18:03,843,cnn_net_2_2_2_4,144640,2.428212,0.10938,0.00242,
2016-07-14 18:03,861,cnn_net_2_2_2_4,145920,2.355995,0.10156,0.00233,
2016-07-14 18:03,878,cnn_net_2_2_2_4,147200,2.356304,0.11719,0.00238,
2016-07-14 18:03,896,cnn_net_2_2_2_4,148480,2.343978,0.08594,0.00233,
2016-07-14 18:03,913,cnn_net_2_2_2_4,149760,2.372019,0.07031,0.00236,
2016-07-14 18:03,930,cnn_net_2_2_2_4,151040,2.379637,0.09375,0.0023,
2016-07-14 18:03,949,cnn_net_2_2_2_4,152320,2.366246,0.09375,0.00239,
2016-07-14 18:03,967,cnn_net_2_2_2_4,153600,2.387006,0.04688,0.00238,
2016-07-14 18:03,985,cnn_net_2_2_2_4,154880,2.36551,0.07812,0.00236,
2016-07-14 18:03,2,cnn_net_2_2_2_4,156160,2.344312,0.07031,0.00228,
2016-07-14 18:03,19,cnn_net_2_2_2_4,157440,2.377211,0.13281,0.00236,
2016-07-14 18:03,36,cnn_net_2_2_2_4,158720,2.353803,0.09375,0.00247,
2016-07-14 18:03,53,cnn_net_2_2_2_4,160000,2.386872,0.08594,0.00237,
2016-07-14 18:03,70,cnn_net_2_2_2_4,161280,2.363419,0.05469,0.00234,
2016-07-14 18:03,87,cnn_net_2_2_2_4,162560,2.329571,0.11719,0.0023,
2016-07-14 18:03,104,cnn_net_2_2_2_4,163840,2.378364,0.07812,0.00239,
2016-07-14 18:03,121,cnn_net_2_2_2_4,165120,2.368537,0.10156,0.00232,
2016-07-14 18:03,138,cnn_net_2_2_2_4,166400,2.348299,0.09375,0.00235,
2016-07-14 18:03,156,cnn_net_2_2_2_4,167680,2.367646,0.09375,0.00254,
2016-07-14 18:03,173,cnn_net_2_2_2_4,168960,2.350964,0.07812,0.00231,
2016-07-14 18:03,191,cnn_net_2_2_2_4,170240,2.350871,0.07812,0.00245,
2016-07-14 18:03,208,cnn_net_2_2_2_4,171520,2.36561,0.07031,0.0024,
2016-07-14 18:03,225,cnn_net_2_2_2_4,172800,2.338266,0.11719,0.00231,
2016-07-14 18:03,242,cnn_net_2_2_2_4,174080,2.311336,0.11719,0.00245,
2016-07-14 18:03,259,cnn_net_2_2_2_4,175360,2.343939,0.08594,0.00238,
2016-07-14 18:03,276,cnn_net_2_2_2_4,176640,2.310334,0.125,0.00235,
2016-07-14 18:03,293,cnn_net_2_2_2_4,177920,2.295092,0.125,0.00236,
2016-07-14 18:03,310,cnn_net_2_2_2_4,179200,2.293348,0.11719,0.00233,
