,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Best,Random Best 1,Random Best 2,Random Best 0,Random Best 3,Random Best 4,Random Best 5,Random Best 6,Random Best 7,Random Best 8,Random Best 9
105,2016-09-03 4:02,22,filter:2-conv1:2-conv2:1-fc:32-Momentum,1_epoch,0.12,73.8,,,2,2,1,32,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
106,2016-09-03 4:02,23,filter:2-conv1:2-conv2:1-fc:64-Momentum,1_epoch,0.133,81.72,,,2,2,1,64,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
107,2016-09-03 4:02,188,filter:2-conv1:2-conv2:1-fc:16-Momentum,1_epoch,0.205,61.5,,,2,2,1,16,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
108,2016-09-03 4:02,479,filter:2-conv1:2-conv2:1-fc:512-Momentum,1_epoch,0.149,10.28,,,2,2,1,512,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
109,2016-09-03 4:02,765,filter:2-conv1:2-conv2:1-fc:256-Momentum,1_epoch,0.186,88.75,,,2,2,1,256,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
110,2016-09-03 4:02,841,filter:2-conv1:2-conv2:2-fc:1-Momentum,1_epoch,0.155,18.9,,,2,2,2,1,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
111,2016-09-03 4:02,133,filter:2-conv1:2-conv2:2-fc:2-Momentum,1_epoch,0.394,10.28,,,2,2,2,2,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
112,2016-09-03 4:03,332,filter:2-conv1:2-conv2:2-fc:4-Momentum,1_epoch,0.143,10.28,,,2,2,2,4,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
113,2016-09-03 4:03,652,filter:2-conv1:2-conv2:2-fc:32-Momentum,1_epoch,0.119,74.42,,,2,2,2,32,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
114,2016-09-03 4:03,681,filter:2-conv1:2-conv2:2-fc:16-Momentum,1_epoch,0.117,23.86,,,2,2,2,16,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
115,2016-09-03 4:03,683,filter:2-conv1:2-conv2:2-fc:8-Momentum,1_epoch,0.115,37.16,,,2,2,2,8,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
116,2016-09-03 4:03,32,filter:2-conv1:2-conv2:2-fc:128-Momentum,1_epoch,0.135,89.27,,,2,2,2,128,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
117,2016-09-03 4:03,33,filter:2-conv1:2-conv2:2-fc:256-Momentum,1_epoch,0.133,85.87,,,2,2,2,256,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
118,2016-09-03 4:03,52,filter:2-conv1:2-conv2:2-fc:512-Momentum,1_epoch,0.135,10.28,,,2,2,2,512,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
119,2016-09-03 4:03,104,filter:2-conv1:2-conv2:2-fc:64-Momentum,1_epoch,0.162,87.51,,,2,2,2,64,94.94,97.96,98.16,98.13,97.96,98.05,97.73,98.12,97.91,97.95,97.52
